公司名稱,公司產品,職稱,公司所在縣市
"中央研究院資訊科學研究所
                    ",資訊科學等相關研究,"39                           專任研究助理(馬偉雲老師實驗室中研院詞庫小組CKIP)
104                                   專、兼任研究助理（吳廸融老師實驗室）
106             工程師(博士後研究人員)－後量子密碼學實驗室(楊柏因老師、周彤老師、鐘楷閔老師)
138    Research assistant (full time or part time) (D...
161    博士後研究人員－量子科技專案計畫徵才(鐘楷閔老師、楊柏因老師、陳郁方老師、林瀚仚老師、鄭皓中...
165                     專任或兼任研究助理(中研院詞庫小組CKIP(馬偉雲老師實驗室))
172                                 專、兼任研究助理（古倫維老師老師實驗室）
204                                      博士後研究(葉彌妍老師實驗室)
205                           助理工程師(研究資料寄存所 (depositar))
207                工程師(資訊人員)－後量子密碼學實驗室(楊柏因老師、周彤老師、鐘楷閔老師)
255            工程師(專案研究工作人員)－後量子密碼學實驗室(楊柏因老師、周彤老師、鐘楷閔老師)
Name: job_name, dtype: object","39     台北市
104    台北市
106    台北市
138    台北市
161    台北市
165    台北市
172    台北市
204    台北市
205    台北市
207    台北市
255    台北市
Name: company_addr, dtype: object"
"亞洲準譯股份有限公司
                    ",感染病原基因定序檢測,"186    生物資訊工程師
Name: job_name, dtype: object","186    新北市
Name: company_addr, dtype: object"
"亨泰光學股份有限公司
                    ","董事長吳泰雄先生自集團創立至今，為視光業界貢獻心力近五十年，期間不但持續引進國外最新技術與設備，致力於創新與研發各種硬式隱形眼鏡，亦代理國外知名之眼科醫療器材及用品，對於推廣專業視光教育及驗配技術不遺餘力，成為國內硬式隱形眼鏡業界的翹楚。 
以前瞻的精密設備、創新的研發技術、嚴謹的品質管理、貼心的專業服務，為視光從業人員和消費者提供最優質的硬式隱形眼鏡。

核心價值(Core values)
誠信、品質、服務

願景(Vision)
成為亞洲最大最專業的特殊隱形眼鏡供應商

使命(Mission)
提升人們視覺效能、共同創造美好視界
","155    機械工程師（製程研發端）
Name: job_name, dtype: object","155    新北市
Name: company_addr, dtype: object"
"倚強科技股份有限公司
                    ","我們給予客戶最完美的服務品質，提供客戶最安心的品質保障。我們將每位客戶都視為自己的夥伴，從研發、設計到實體的營銷，重視客戶的想法與感受，建立長久的合作關係，成為ㄧ起展望國際市場的策略夥伴。

【以人為本 共創美好】
倚強重視每位夥伴的專長與潛力，不分你我，把每位夥伴都當作一起打拼的朋友。我們以團隊精神為導向，不畏懼新的思想與想法，透過共享的獎勵制度，引導夥伴投入熱情，創造商機，為績效全力以赴。開創人生高峰，共創美好未來，歡迎加入我們的菁英團隊。","252    軟體研發工程師-SW Engineer
Name: job_name, dtype: object","252    台北市
Name: company_addr, dtype: object"
"兆派娛樂科技有限公司
                    "," 打造「幸福」企業
創造互聯網
相關遊戲平台
短視頻平台
遊戲開發


經營理念 → 創造科技新世代，延展世界版圖！
●工作態度 - Attitude
●團隊精神 - Spirit
●善於溝通 - Communication
●工作效率 - Work efficiency
創造客戶、員工、股東三方皆贏之永續經營。","238    系統工程師
Name: job_name, dtype: object","238    台北市
Name: company_addr, dtype: object"
"兆豐國際商業銀行股份有限公司
                    ",存款、放款、進出口押匯及託收、境外金融、信託及投資、消費金融、財富管理等一般銀行業務，以及經由中央主管機關核准辦理之其他有關業務。,"260    數據分析人員
Name: job_name, dtype: object","260    台北市
Name: company_addr, dtype: object"
"全聯福利中心_全聯實業股份有限公司
                    ","價格最放心-所有商品訂價必須比市場行情便宜20%，讓消費者對價格有感，傳遞「省錢也是美學」消費概念
品質最安心-所有商品以「最嚴謹的把關、最高規格的作業」，才能把最實在的商品提供給消費者
開店最用心-所有門市以「最便利的購物地點」為出發點，不斷優化門市經營，不論都會城市、偏遠鄉鎮，成為社區的福利中心。
服務最貼心-所有人員以「最貼心、富有人情味的服務」，成為社區的好鄰居。


","209    線上事業部-Px Pay技術組-雲端架構師  Cloud Architect
Name: job_name, dtype: object","209    台北市
Name: company_addr, dtype: object"
"剛鈺股份有限公司
                    ","智慧停車解決方案(Total Solution)
商用無人機
自動導航系統
知識管理平台
智能產品開發","85    軟體工程師
Name: job_name, dtype: object","85    新北市
Name: company_addr, dtype: object"
"創順科技有限公司
                    ","We develop and shape your life!

UNNO Technology 是一個能自我調節、自我反省的團隊，因為我們深信最佳的架構、需求與設計皆來自於能自我組織、自律的團隊，引導夥伴在自由的氛圍中，不斷茁壯成長。我們同時期許自己不因產品上線交付而自滿，並持續追求優越的技術與優良的設計，不斷強化產品品質。","254    Quality Assurance Engineer
Name: job_name, dtype: object","254    台北市
Name: company_addr, dtype: object"
"勢流科技股份有限公司
                    ","勢流科技自成立以來, 即著重於電腦輔助工程(Computer Aided Engineering, CAE)的技術趨勢和市場潮流。利用最佳之軟體工具, 提供觀念領先, 技術導向之最完整之工程解決方案 。","52     MIS專員
259    MIS專員
Name: job_name, dtype: object","52     台北市
259    台北市
Name: company_addr, dtype: object"
